Part number,Brand,Category,Description
9S7-16V512-257,MSI,Laptops,"MSI Stealth GS66. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-12700H. Taille de l'écran: 39,6 cm (15.6""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 32 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 3070. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Noir"
30HA004HUK,Lenovo,PC/postes de travail,"Lenovo ThinkStation P3 Ultra SFF. Fréquence du processeur: 3,2 GHz, Famille de processeur: Intel® Core™ i9, Modèle de processeur: i9-14900K. Mémoire interne: 32 Go, Type de mémoire interne: DDR5-SDRAM, Fréquence de la mémoire: 4800 MHz. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel UHD Graphics 770, Modèle d'adaptateur graphique distinct: NVIDIA T1000. Wifi. Système d'exploitation installé: Windows 11 Pro. Alimentation d'énergie: 300 W. Type de produit: Station de travail. Poids: 3,6 kg"
VECTOR GP78HX 13VI-434XES,MSI,Laptops,"MSI Gaming Vector GP78 HX 13VI-434XES. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i9, Modèle de processeur: i9-13980HX. Taille de l'écran: 43,2 cm (17""), Type HD: Quad HD+, Résolution de l'écran: 2560 x 1600 pixels. Mémoire interne: 32 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 2 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel® UHD Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 4090. Couleur du produit: Noir. Poids: 3 kg"
AR9D5EA#UUG,HP,PC/postes de travail,HP GT16-0020nb PC
GP76 12UGS-298OB,MSI,Laptops,"MSI Gaming GP76 12UGS-298OB Vector. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-12700H. Taille de l'écran: 43,9 cm (17.3""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 32 Go, Type de mémoire interne: DDR4-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 3070 Ti. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Noir"
KATANA GF76 12UGSZOK-642UK,MSI,Laptops,"MSI Gaming Katana GF76 12UGSZOK. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-12650H. Taille de l'écran: 43,9 cm (17.3""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 16 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel® UHD Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 3070 Ti. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Noir"
VECTOR GP68HX 12VH-2001JP,MSI,Laptops,"MSI Gaming Vector GP68HX 12VH-2001JP. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i9, Modèle de processeur: i9-12900HX. Taille de l'écran: 40,6 cm (16""), Type HD: Quad HD+, Résolution de l'écran: 2560 x 1600 pixels. Mémoire interne: 64 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel® UHD Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 4080. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Noir"
CREATORPRO M16 B13VI-885NL,MSI,Laptops,"MSI CreatorPro M16 B13VI-885NL. Type de produit: Station de travail mobile, Format: Clapet. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-13700H. Taille de l'écran: 40,6 cm (16""), Type HD: Quad HD+, Résolution de l'écran: 2560 x 1600 pixels. Mémoire interne: 16 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics, Modèle d'adaptateur graphique distinct: NVIDIA RTX A1000. Système d'exploitation installé: Windows 11. Couleur du produit: Noir"
SUMMIT E13FLIPEVO A13MT-245AU,MSI,Laptops,"MSI Summit E13 Flip Evo E13FlipEvo A13MT-245AU. Type de produit: Hybride (2-en-1), Format: Convertible (pliable). Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-1360P. Taille de l'écran: 34 cm (13.4""), Type HD: Full HD+, Résolution de l'écran: 1920 x 1200 pixels, Écran tactile. Mémoire interne: 16 Go, Type de mémoire interne: LPDDR5-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics. Système d'exploitation installé: Windows 10 Pro. Couleur du produit: Noir"
A5KH6EA#ABH,HP,Laptops,HP 17-db0630nd
