Part number,Brand,Category,Description
82RL00C2MH,Lenovo,Laptops,"Lenovo IdeaPad 3 17IAU7. Famille de processeur: Intel® Core™ i5, Modèle de processeur: i5-1235U, Fréquence du processeur: 1,3 GHz. Taille de l'écran: 43,9 cm (17.3""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 8 Go, Type de mémoire interne: DDR4-SDRAM. Capacité totale de stockage: 512 Go, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Gris. Poids: 2,04 kg"
PRESTIGE 15 A12SC-032FR,MSI,Laptops,"MSI Prestige 15 A12SC-032FR. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-1280P. Taille de l'écran: 39,6 cm (15.6""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 8 Go, Type de mémoire interne: LPDDR4x-SDRAM. Capacité totale de stockage: 512 Go, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel® UHD Graphics, Modèle d'adaptateur graphique distinct: NVIDIA® GeForce® GTX 1650 Max-Q. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Charbon, Gris"
AE1B9EA#ABH,HP,Laptops,HP 14b-cd0705nd
9Y715AT,HP,Laptops,"HP 250 G10. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i5, Modèle de processeur: i5-1334U. Taille de l'écran: 39,6 cm (15.6""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 8 Go, Type de mémoire interne: DDR4-SDRAM. Capacité totale de stockage: 512 Go, Supports de stockage: SSD. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Argent. Poids: 1,52 kg"
83DF00ETGE,Lenovo,Laptops,"Lenovo Legion Pro 5 16IRX9. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-14700HX, Fréquence du processeur: 2,1 GHz. Taille de l'écran: 40,6 cm (16""), Type HD: WQXGA, Résolution de l'écran: 2560 x 1600 pixels. Mémoire interne: 32 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 4060. Couleur du produit: Gris. Poids: 2,5 kg"
83DV00PEMB,Lenovo,Laptops,"Lenovo LOQ. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-13650HX. Taille de l'écran: 39,6 cm (15.6""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 24 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 512 Go, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel® UHD Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 4060. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Gris"
KATANA GF76 12UC-275AU,MSI,Laptops,"MSI Gaming Katana GF76 12UC-275AU. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i5, Modèle de processeur: i5-12450H. Taille de l'écran: 43,9 cm (17.3""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 8 Go, Type de mémoire interne: DDR4-SDRAM. Capacité totale de stockage: 512 Go, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel® UHD Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 3050. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Noir"
83E0005QMB,Lenovo,Laptops,"Lenovo Yoga Slim 6 14IRH8. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-13700H, Fréquence du processeur: 2,4 GHz. Taille de l'écran: 35,6 cm (14""), Type HD: WUXGA, Résolution de l'écran: 1920 x 1200 pixels. Mémoire interne: 16 Go, Type de mémoire interne: LPDDR5x-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Gris. Poids: 1,35 kg"
PULSE 17 B13VGK-027BE,MSI,Laptops,"MSI Pulse 17 B13VGK-027BE. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-13700H. Taille de l'écran: 43,9 cm (17.3""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 16 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 4070. Système d'exploitation installé: Windows 11. Couleur du produit: Gris"
STEALTH 17STUDIO A13VI-080NL,MSI,Laptops,"MSI Stealth 17 Studio 17Studio A13VI-080NL. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i9, Modèle de processeur: i9-13900H. Taille de l'écran: 43,9 cm (17.3""), Type HD: 4K Ultra HD, Résolution de l'écran: 3840 x 2160 pixels. Mémoire interne: 32 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 2 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 4090. Système d'exploitation installé: Windows 11. Couleur du produit: Noir"
