Part number,Brand,Category,Description
98N65ET,HP,Laptops,"HP ZBook Firefly 14 G11. Type de produit: Station de travail mobile, Format: Clapet. Famille de processeur: Intel Core Ultra 7, Modèle de processeur: 155H, Fréquence du processeur: 3,8 GHz. Taille de l'écran: 35,6 cm (14""), Type HD: WUXGA, Résolution de l'écran: 1920 x 1200 pixels. Mémoire interne: 32 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Arc Graphics. Système d'exploitation installé: Windows 11 Pro. Couleur du produit: Argent"
KATANA GF66 12UGSZOK-1034UK,MSI,Laptops,"MSI Katana GF66 12UGSZOK-1034UK. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-12650H. Taille de l'écran: 39,6 cm (15.6""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 16 Go, Type de mémoire interne: DDR4-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel® UHD Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 3070 Ti. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Noir"
QA_TEST_MEGA_FULL_PRAKASH,QA_test,Laptops,"QA_test+FR root family FR QA_TEST_MEGA_HIT(DONT_TOUCH) !@#$%^&*()_?|""'/\/\ ТЕСТ. Type de produit: Chromebook, Format: Convertible (amovible). Famille de processeur: AMD Athlon, Modèle de processeur: 210U. Taille de l'écran: 2,54 m (100""), Type HD: 2K Ultra HD, Résolution de l'écran: 100 x 100 pixels, Écran tactile. Mémoire interne: 3 Go, Type de mémoire interne: DDR-SDRAM. Supports de stockage: Fusion Drive, Lecteur optique: Blu-Ray ROM. Génération de réseau mobile: 4G. Système d'exploitation installé: Android 2.1. Couleur du produit: Bourgogne, Cyan"
90NR0FV8-M00380,ASUS,Laptops,"ASUS TUF Gaming F15 FX507ZI4-LP035W-BE. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-12700H. Taille de l'écran: 39,6 cm (15.6""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 16 Go, Type de mémoire interne: DDR4-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 4070. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Noir, Gris"
MODERN 15 B13M-283ES,MSI,Laptops,"MSI Modern 15 B13M-283ES. Type de produit: Ordinateur portable, Format: Clapet. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-1355U. Taille de l'écran: 39,6 cm (15.6""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 16 Go, Type de mémoire interne: DDR4-SDRAM. Capacité totale de stockage: 1 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Noir. Poids: 1,7 kg"
83D0001UMB,Lenovo,Laptops,"Lenovo IdeaPad Slim 5 15IRU9. Famille de processeur: Intel Core 5, Fréquence du processeur: 1,4 GHz. Taille de l'écran: 38,9 cm (15.3""), Type HD: WUXGA, Résolution de l'écran: 1920 x 1200 pixels. Mémoire interne: 16 Go, Type de mémoire interne: LPDDR5x-SDRAM. Capacité totale de stockage: 512 Go, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Graphics. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Gris. Poids: 1,79 kg"
A23KPEA,HP,Laptops,"HP ProBook 465 16 inch G11 Notebook PC. Famille de processeur: AMD Ryzen™ 7, Modèle de processeur: 7735U. Taille de l'écran: 40,6 cm (16""), Type HD: WUXGA, Résolution de l'écran: 1920 x 1200 pixels. Mémoire interne: 16 Go, Type de mémoire interne: DDR5-SDRAM"
MEG TRIDENT X 11TE-1870US,MSI,PC/postes de travail,"MSI MEG Trident X 11TE-1870US. Fréquence du processeur: 3,5 GHz, Famille de processeur: Intel® Core™ i9, Modèle de processeur: i9-11900K. Mémoire interne: 32 Go, Type de mémoire interne: DDR4-SDRAM, Fréquence de la mémoire: 3200 MHz. Capacité totale de stockage: 2 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel UHD Graphics 750, Modèle d'adaptateur graphique distinct: NVIDIA GeForce RTX 3080. Système d'exploitation installé: Windows 10 Home, Architecture du système d'exploitation: 64-bit. Alimentation d'énergie: 750 W. Type de châssis: Bureau. Type de produit: PC"
21FV002QMB,Lenovo,Laptops,"Lenovo ThinkPad P1. Type de produit: Station de travail mobile, Format: Clapet. Famille de processeur: Intel® Core™ i9, Modèle de processeur: i9-13900H. Taille de l'écran: 40,6 cm (16""), Type HD: WQUXGA, Résolution de l'écran: 3840 x 2400 pixels, Écran tactile. Mémoire interne: 32 Go, Type de mémoire interne: DDR5-SDRAM. Capacité totale de stockage: 2 To, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel Iris Xe Graphics. Système d'exploitation installé: Windows 11 Pro. Couleur du produit: Noir"
83EM00DSSP,Lenovo,Laptops,"Lenovo IdeaPad Slim 3 15IRH8. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-13620H, Fréquence du processeur: 2,4 GHz. Taille de l'écran: 39,6 cm (15.6""), Type HD: Full HD, Résolution de l'écran: 1920 x 1080 pixels. Mémoire interne: 16 Go, Type de mémoire interne: LPDDR5-SDRAM. Capacité totale de stockage: 512 Go, Supports de stockage: SSD. Modèle d'adaptateur graphique inclus: Intel® UHD Graphics. Système d'exploitation installé: Windows 11 Home. Couleur du produit: Bleu. Poids: 1,62 kg"
